Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
SENIOR ASSOCIATE SOFTWARE DEVELOPMENT ENGINEER,115500,PLEASANTON CA,CA,03/17/2016,03,2016,09/06/2016,09,2016
SENIOR BUSINESS SYSTEMS ANALYST,86112,PLEASANTON CA,CA,10/12/2018,10,2018,10/19/2018,10,2018
SENIOR BUSINESS SYSTEMS ANALYST,135000,PLEASANTON CA,CA,03/22/2016,03,2016,09/13/2016,09,2016
SENIOR BUSINESS SYSTEMS ANALYST - SALESFORCE,111176,PLEASANTON CA,CA,02/23/2017,02,2017,03/27/2017,03,2017
SENIOR CLOUD ANALYTICS PERFORMANCE ENGINEER,152984,PLEASANTON CA,CA,05/10/2018,05,2018,05/21/2018,05,2018
SENIOR CLOUD ANALYTICS PERFORMANCE ENGINEER,152984,SAN MATEO CA,CA,05/24/2018,05,2018,05/31/2018,05,2018
SENIOR CLOUD ENGINEER,130000,PLEASANTON CA,CA,02/21/2014,02,2014,03/10/2014,03,2014
SENIOR CLOUD ENGINEER,155000,AUSTIN TX,TX,09/25/2013,09,2013,10/07/2013,10,2013
SENIOR DATABASE ADMINISTRATOR,140000,PLEASANTON CA,CA,07/11/2016,07,2016,07/18/2016,07,2016
SENIOR DEVELOPER,109325,PLEASANTON CA,CA,04/11/2018,04,2018,10/09/2018,10,2018
SENIOR DEVELOPER,115000,PLEASANTON CA,CA,11/15/2013,11,2013,12/06/2013,12,2013
SENIOR DEVELOPER,130000,PLEASANTON CA,CA,11/12/2013,11,2013,12/02/2013,12,2013
SENIOR DEVELOPER,137600,PLEASANTON CA,CA,11/14/2018,11,2018,04/11/2019,04,2019
SENIOR DEVELOPER,142064,PLEASANTON CA,CA,10/29/2015,10,2015,03/18/2016,03,2016
SENIOR DEVELOPER FINANCIALS,120000,PLEASANTON CA,CA,12/10/2013,12,2013,12/23/2013,12,2013
SENIOR DEVELOPMENT OPERATIONS ENGINEER,118186,SAN FRANCISCO CA,CA,07/20/2017,07,2017,08/28/2017,08,2017
SENIOR DEVELOPMENT OPERATIONS ENGINEER,128898,PLEASANTON CA,CA,08/02/2017,08,2017,09/11/2017,09,2017
SENIOR DEVELOPMENT OPERATIONS ENGINEER,156000,PLEASANTON CA,CA,06/08/2016,06,2016,06/20/2016,06,2016
SENIOR DEVOPS ENGINEER,108900,PLEASANTON CA,CA,09/20/2018,09,2018,10/01/2018,10,2018
SENIOR FRONT END SOFTWARE ENGINEER,130000,PLEASANTON CA,CA,02/05/2016,02,2016,02/22/2016,02,2016
SENIOR INFRASTRUCTURE SYSTEMS ENGINEER,128107,PLEASANTON CA,CA,06/12/2017,06,2017,07/10/2017,07,2017
SENIOR INTEGRATION CONSULTANT,111176,PLEASANTON CA,CA,02/23/2017,02,2017,08/23/2017,08,2017
SENIOR INTEGRATION CONSULTANT,122000,PLEASANTON CA,CA,03/29/2016,03,2016,09/28/2016,09,2016
SENIOR INTEGRATION CONSULTANT,122000,PLEASANTON CA,CA,03/15/2016,03,2016,09/10/2016,09,2016
SENIOR INTERNATIONAL PAYROLL TAX ACCOUNTANT,58365,SALT LAKE CITY UT,UT,03/16/2018,03,2018,09/13/2018,09,2018
SENIOR MACHINE LEARNING ENGINEER,112445,SAN FRANCISCO CA,CA,03/13/2017,03,2017,09/10/2017,09,2017
SENIOR MANAGER ENTERPRISE APPLICATIONS,144310,PLEASANTON CA,CA,08/31/2018,08,2018,09/05/2018,09,2018
SENIOR MANAGER SECURITY ENGINEERING,164944,PLEASANTON CA,CA,01/31/2018,01,2018,08/01/2018,08,2018
SENIOR MANAGER SECURITY ENGINEERING,164944,PLEASANTON CA,CA,01/23/2018,01,2018,05/07/2018,05,2018
SENIOR MANAGER SOFTWARE DEVELOPMENT ENGINEERING,129501,PLEASANTON CA,CA,05/23/2017,05,2017,06/12/2017,06,2017
SENIOR MASTER DATA ENGINEER,114400,PLEASANTON CA,CA,10/20/2017,10,2017,10/23/2017,10,2017
SENIOR MASTER DATA ENGINEER,119600,PLEASANTON CA,CA,10/24/2017,10,2017,10/30/2017,10,2017
SENIOR MASTER DATA ENGINEER,137051,PLEASANTON CA,CA,10/10/2017,10,2017,10/17/2017,10,2017
SENIOR MULESOFT INTEGRATIONS DEVELOPER,135000,PLEASANTON CA,CA,03/04/2016,03,2016,03/14/2016,03,2016
SENIOR NETWORK ENGINEER,81827,PLEASANTON CA,CA,05/04/2018,05,2018,05/17/2018,05,2018
SENIOR NETWORK ENGINEER,150000,PLEASANTON CA,CA,08/27/2018,08,2018,09/10/2018,09,2018
SENIOR PERFORMANCE ENGINEER,109325,PLEASANTON CA,CA,04/20/2018,04,2018,08/17/2018,08,2018
SENIOR PRINCIPAL PRODUCT MANAGER,133245,PLEASANTON CA,CA,10/02/2017,10,2017,10/16/2017,10,2017
SENIOR PRODUCT MANAGER,123115,PLEASANTON CA,CA,12/30/2016,12,2016,01/16/2017,01,2017
SENIOR PRODUCT MANAGER,138379,PLEASANTON CA,CA,12/15/2016,12,2016,02/08/2017,02,2017
SENIOR PRODUCT MARKETING MANAGER,134472,PLEASANTON CA,CA,09/11/2018,09,2018,01/28/2019,01,2019
SENIOR PROGRAM MANAGER,133494,PLEASANTON CA,CA,03/16/2018,03,2018,09/13/2018,09,2018
SENIOR QA ENGINEER,140000,PLEASANTON CA,CA,03/28/2016,03,2016,04/04/2016,04,2016
SENIOR QUALITY ASSURANCE ENGINEER,112195,PLEASANTON CA,CA,07/19/2017,07,2017,09/15/2017,09,2017
SENIOR QUALITY ASSURANCE ENGINEER,118564,PLEASANTON CA,CA,08/01/2017,08,2017,10/12/2017,10,2017
